,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
77449,spesialisoitua,specialize,specialize,spesialisoitua,,,,,
77450,spesifioida,specify,specify,spesifioida,,,,,
77479,spinnata,spin,spin,spinnata,,,,,
77564,sprayata,do,do,sprayata,,,,,
77565,spraymaalata,spray paint,spray paint,spraymaalata,,,,,
77566,spreijata,spray,spray,spreijata,,,,,
77567,spurtata,dash,dash,spurtata,,,,,
77568,stabilisoida,stabilize,stabilize,stabilisoida,,,,,
77625,standardisoida,standardize,standardize,standardisoida,,,,,
77626,standardisoitua,do,do,standardisoitua,,,,,
77627,standardoida,standardize,standardize,standardoida,,,,,
77628,standardoitua,be standardized,be standardized,standardoitua,,,,,
77629,stanssata,stamp,stamp,stanssata,,,,,
77686,sterilisoida,do,do,sterilisoida,,,,,
77771,streikata,break down,break down,streikata,,,,,
77772,stressaantua,become stressed,become stressed,stressaantua,,,,,
77801,stressautua,become stressed,become stressed,stressautua,,,,,
77830,strukturoida,structure,structure,strukturoida,,,,,
77831,stukturoida,structure,structure,stukturoida,,,,,
77832,stylisoida,stylize,stylize,stylisoida,,,,,
77833,sublimoida,sublime,sublime,sublimoida,,,,,
77834,sublimoitua,sublime,sublime,sublimoitua,,,,,
77835,substituoida,substitute,substitute,substituoida,,,,,
77836,substituoitua,do,do,substituoitua,,,,,
77865,sueta,develop,develop,sueta,,,,,
77894,suggeroitua,do,do,suggeroitua,,,,,
77951,suihkuta,shower,shower,suihkuta,,,,,
78008,suikertaa,do,do,suikertaa,,,,,
78009,suipentaa,taper,taper,suipentaa,,,,,
78010,suipeta,english,english,suipeta,,,,,
78067,suitsea,smoke,smoke,suitsea,,,,,
78096,suitsittaa,do,do,suitsittaa,,,,,
78181,sujuttautua,english,english,sujuttautua,,,,,
78182,sukaista,english,english,sukaista,,,,,
78211,sukeltautua,dive into,dive into,sukeltautua,,,,,
78240,sukkuloida,shuttle,shuttle,sukkuloida,,,,,
78325,sulatella,digest,digest,sulatella,,,,,
78354,sulauttaa,embed,embed,sulauttaa,,,,,
78383,sulkea pois,preclude,preclude,sulkea pois,,,,,
78412,sulkeutua,close in,close in,sulkeutua,,,,,
78441,sulloutua,pack,pack,sulloutua,,,,,
78610,sumuta,fume,fume,sumuta,,,,,
78639,sumuttua,become foglike,become foglike,sumuttua,,,,,
78640,sumuuntua,become foggy,become foggy,sumuuntua,,,,,
78697,suodattua,filter,filter,suodattua,,,,,
78782,suolaantua,become salty,become salty,suolaantua,,,,,
78811,suolautua,do,do,suolautua,,,,,
78868,suoltua,english,english,suoltua,,,,,
78869,suomalaistaa,make finnish,make finnish,suomalaistaa,,,,,
78870,suomalaistua,become finnish,become finnish,suomalaistua,,,,,
78927,suomustaa,scale,scale,suomustaa,,,,,
78984,suoreta,straighten,straighten,suoreta,,,,,
79041,suoristautua,straighten,straighten,suoristautua,,,,,
79322,suotautua,be filtered,be filtered,suotautua,,,,,
79351,supeta,converge,converge,supeta,,,,,
79352,supista,murmur,murmur,supista,,,,,
79409,suputtaa,do,do,suputtaa,,,,,
79410,sureksia,mourn,mourn,sureksia,,,,,
79467,surista,buzz,buzz,surista,,,,,
79468,surkastaa,constrict,constrict,surkastaa,,,,,
79469,surkastua,atrophy,atrophy,surkastua,,,,,
79470,surkastuttaa,atrophy,atrophy,surkastuttaa,,,,,
79471,surkutella,bemoan,bemoan,surkutella,,,,,
79528,surrata,drone,drone,surrata,,,,,
79529,survaista,thrust,thrust,survaista,,,,,
79558,survoutua,english,english,survoutua,,,,,
79559,sutaista,jot,jot,sutaista,,,,,
79616,suttaantua,become dirty,become dirty,suttaantua,,,,,
79617,suttautua,do,do,suttautua,,,,,
79646,suudita,wedge,wedge,suudita,,,,,
79647,suukottaa,kiss,kiss,suukottaa,,,,,
79816,suurennuttaa,have something enlarged,have something enlarged,suurennuttaa,,,,,
79929,suutaroida,work as a shoemaker,work as a shoemaker,suutaroida,,,,,
80014,svengata,play,play,svengata,,,,,
80015,sydämistyä,get furiously angry,get furiously angry,sydämistyä,,,,,
80016,sydämystyä,do,do,sydämystyä,,,,,
80017,sykertää,curl up,curl up,sykertää,,,,,
80018,sykkiä,pulse,pulse,sykkiä,,,,,
80019,sykähdyttää,thrill,thrill,sykähdyttää,,,,,
80020,syleillä,embrace,embrace,syleillä,,,,,
80021,syljeksiä,spit,spit,syljeksiä,,,,,
80022,syljeskellä,spit in a continuousindifferent manner,spit in a continuousindifferent manner,syljeskellä,,,,,
80023,syljettää,cause one to spit,cause one to spit,syljettää,,,,,
80024,sylkeä,spit,spit,sylkeä,,,,,
80025,sylkäistä,spit,spit,sylkäistä,,,,,
80138,synkentää,darken,darken,synkentää,,,,,
80139,synketä,darken,darken,synketä,,,,,
80140,synkistää,make gloomier,make gloomier,synkistää,,,,,
80141,synkopoida,syncopate,syncopate,synkopoida,,,,,
80142,synkronisoida,do,do,synkronisoida,,,,,
80171,synnyttää,deliver,deliver,synnyttää,,,,,
80172,syntesoida,do,do,syntesoida,,,,,
80173,syntesoitua,do,do,syntesoitua,,,,,
80174,syntetisoida,do,do,syntetisoida,,,,,
80175,syntetisoitua,be synthesized,be synthesized,syntetisoitua,,,,,
80176,syntyä,be born,be born,syntyä,,,,,
80177,syrjiä,discriminate against,discriminate against,syrjiä,,,,,
80178,syrjäyttää,supplant,supplant,syrjäyttää,,,,,
80179,syrjäytyä,become marginalized,become marginalized,syrjäytyä,,,,,
80180,sysiä,thrust,thrust,sysiä,,,,,
80209,systemoida,systematize,systematize,systemoida,,,,,
80210,sysätä,push,push,sysätä,,,,,
80211,syttyä,ignite,ignite,syttyä,,,,,
80212,sytyttää,light,light,sytyttää,,,,,
80213,syventyä,deepen,deepen,syventyä,,,,,
80214,syventää,deepen,deepen,syventää,,,,,
80215,syvetä,deepen,deepen,syvetä,,,,,
80216,syyhyttää,itch,itch,syyhyttää,,,,,
80217,syyhytä,itch,itch,syyhytä,,,,,
80218,syyhyä,do,do,syyhyä,,,,,
80219,syyllistyä,perpetrate,perpetrate,syyllistyä,,,,,
80220,syyllistää,accuse,accuse,syyllistää,,,,,
80221,syytellä,accuse someone repeatedly,accuse someone repeatedly,syytellä,,,,,
80222,syyttää,blame,blame,syyttää,,,,,
80223,syytää,throw,throw,syytää,,,,,
80224,syödä kädestä,be in someones pocket,be in someones pocket,syödä kädestä,,,,,
80225,syödä,eat,eat,syödä,,,,,
80226,syöksyä,rush,rush,syöksyä,,,,,
80227,syöpyä,eat into,eat into,syöpyä,,,,,
80228,syöstä,throw,throw,syöstä,,,,,
80229,syöttää,feed,feed,syöttää,,,,,
80230,syövyttää,corrode,corrode,syövyttää,,,,,
80231,sädehtiä,radiate,radiate,sädehtiä,,,,,
80232,sädettää,radiate,radiate,sädettää,,,,,
80233,säestää,accompany,accompany,säestää,,,,,
80234,säheltää,do,do,säheltää,,,,,
80235,sähistä,hiss,hiss,sähistä,,,,,
80236,sähköistää,electrify,electrify,sähköistää,,,,,
80237,sähköttää,wire,wire,sähköttää,,,,,
80238,sähliä,screw up,screw up,sähliä,,,,,
80239,sählätä,fumble,fumble,sählätä,,,,,
80240,säikkyä,startle,startle,säikkyä,,,,,
80241,säikyttää,scare,scare,säikyttää,,,,,
80242,säikähtää,be startledfrightenedscared,be startledfrightenedscared,säikähtää,,,,,
80243,säikäyttää,scare,scare,säikäyttää,,,,,
80244,säiliöidä,store,store,säiliöidä,,,,,
80245,säilyttää,preserve,preserve,säilyttää,,,,,
80246,säilyä,remain,remain,säilyä,,,,,
80247,säilöä,preserve,preserve,säilöä,,,,,
80248,säkenöidä,sparkle,sparkle,säkenöidä,,,,,
80249,säkittää,sack,sack,säkittää,,,,,
80250,sämplätä,sample,sample,sämplätä,,,,,
80251,sännätä,dart,dart,sännätä,,,,,
80252,säpistä,bustle,bustle,säpistä,,,,,
80253,säpsähdellä,flinch,flinch,säpsähdellä,,,,,
80254,säpsähdyttää,faze,faze,säpsähdyttää,,,,,
80255,säpsähtää,flinch,flinch,säpsähtää,,,,,
80256,säpsäyttää,do,do,säpsäyttää,,,,,
80257,säristä,crackle,crackle,säristä,,,,,
80258,särkeä,break,break,särkeä,,,,,
80259,särkyä,break,break,särkyä,,,,,
80260,särpiä,do,do,särpiä,,,,,
80261,säteillä,radiate,radiate,säteillä,,,,,
80262,säteilyttää,radiate,radiate,säteilyttää,,,,,
80263,sätkiä,fidget,fidget,sätkiä,,,,,
80264,sättiä,reprimand,reprimand,sättiä,,,,,
80265,säveltää,compose,compose,säveltää,,,,,
80266,sävyttää,dye,dye,sävyttää,,,,,
80267,säväyttää,startle,startle,säväyttää,,,,,
80268,säädellä,regulate,regulate,säädellä,,,,,
80269,säälitellä,express pity,express pity,säälitellä,,,,,
80270,sääliä,pity,pity,sääliä,,,,,
80271,säännellä,regulate,regulate,säännellä,,,,,
80272,säännöstellä,ration,ration,säännöstellä,,,,,
80273,säästellä,save,save,säästellä,,,,,
80274,säästyä,be spared,be spared,säästyä,,,,,
80275,säästää,save,save,säästää,,,,,
80276,säätiöidä,english,english,säätiöidä,,,,,
80277,säätää,adjust,adjust,säätää,,,,,
80278,söhliä,screw up,screw up,söhliä,,,,,
80279,söhlätä,do,do,söhlätä,,,,,
80280,sököttää,check,check,sököttää,,,,,
80281,sönkätä,do,do,sönkätä,,,,,
80282,sönköttää,splutter,splutter,sönköttää,,,,,
80283,sörkkiä,poke,poke,sörkkiä,,,,,
80284,sörssätä,cook,cook,sörssätä,,,,,
80285,sössiä,blunder,blunder,sössiä,,,,,
80286,sössöttää,lisp,lisp,sössöttää,,,,,
80287,taajentaa,make more frequent,make more frequent,taajentaa,,,,,
80288,taajeta,become denser,become denser,taajeta,,,,,
80289,taamoa,tame,tame,taamoa,,,,,
80402,tabuloida,tabulate,tabulate,tabuloida,,,,,
80403,taeta,go backwards,go backwards,taeta,,,,,
80432,tahdittaa,set the pace,set the pace,tahdittaa,,,,,
80461,tahmaantua,become sticky,become sticky,tahmaantua,,,,,
80462,tahmata,make sticky,make sticky,tahmata,,,,,
80463,tahmautua,do,do,tahmautua,,,,,
80464,tahmentaa,make stickier,make stickier,tahmentaa,,,,,
80465,tahmeta,become stickier,become stickier,tahmeta,,,,,
80466,tahraantua,get dirty,get dirty,tahraantua,,,,,
80495,tahrautua,do,do,tahrautua,,,,,
80580,taikinoida,cover,cover,taikinoida,,,,,
80805,taittua,fold,fold,taittua,,,,,
80806,taituroida,english,english,taituroida,,,,,
80919,takaisinmallintaa,do,do,takaisinmallintaa,,,,,
80920,takaisinsirota,backscatter,backscatter,takaisinsirota,,,,,
80949,takertaa,do,do,takertaa,,,,,
80950,takiloida,rig,rig,takiloida,,,,,
81035,taktikoida,maneuver,maneuver,taktikoida,,,,,
81036,takuta,get tangled,get tangled,takuta,,,,,
81037,talkita,spread talc on,spread talc on,talkita,,,,,
81234,talsia,tramp,tramp,talsia,,,,,
81235,taltata,chisel,chisel,taltata,,,,,
81236,taltioida,record,record,taltioida,,,,,
81237,talttua,abate,abate,talttua,,,,,
81294,talvehdittaa,winter,winter,talvehdittaa,,,,,
81351,tamponoida,english,english,tamponoida,,,,,
81352,tanakoitua,become sturdier,become sturdier,tanakoitua,,,,,
81353,tanhuta,dance tanhu,dance tanhu,tanhuta,,,,,
81634,tapiseerata,wallpaper,wallpaper,tapiseerata,,,,,
81635,tapisoida,wallpaper,wallpaper,tapisoida,,,,,
81720,tarhata,ranch,ranch,tarhata,,,,,
82029,tarketa,sharpen,sharpen,tarketa,,,,,
82114,tarpoa,wade,wade,tarpoa,,,,,
82311,tasapäistää,make homogenous,make homogenous,tasapäistää,,,,,
82340,tasauttaa,have leveled,have leveled,tasauttaa,,,,,
82369,tasoittua,be leveled,be leveled,tasoittua,,,,,
82370,tassutella,pad,pad,tassutella,,,,,
82371,tassuttaa,tiptoe,tiptoe,tassuttaa,,,,,
82456,tauottaa,make pauses,make pauses,tauottaa,,,,,
82485,tavoitella,go for,go for,tavoitella,,,,,
82542,tavuttua,hyphenate,hyphenate,tavuttua,,,,,
82543,teeskennellä,pretend,pretend,teeskennellä,,,,,
82544,teettää,have something done,have something done,teettää,,,,,
82545,teetättää,do,do,teetättää,,,,,
82546,teetätyttää,do,do,teetätyttää,,,,,
82547,tehdä huorin,commit adultery,commit adultery,tehdä huorin,,,,,
82548,tehdä perinnöttömäksi,disinherit,disinherit,tehdä perinnöttömäksi,,,,,
82549,tehdä tenä,stop working,stop working,tehdä tenä,,,,,
82550,tehdä tiettäväksi,make clear,make clear,tehdä tiettäväksi,,,,,
82551,tehdä,do,do,tehdä,,,,,
82580,tehota,affect,affect,tehota,,,,,
82581,tehottaa,english,english,tehottaa,,,,,
82582,teikaroida,english,english,teikaroida,,,,,
82583,teilata,wheel,wheel,teilata,,,,,
82612,teititellä,address with the polite vform,address with the polite vform,teititellä,,,,,
82641,tekeytyä,feign,feign,tekeytyä,,,,,
82642,tekstailla,text message,text message,tekstailla,,,,,
82643,tekstata,text message,text message,tekstata,,,,,
82644,tekstintää,do,do,tekstintää,,,,,
82645,tekstittää,subtitle,subtitle,tekstittää,,,,,
82730,telata,paint using a paint roller,paint using a paint roller,telata,,,,,
82759,teljetä,bar,bar,teljetä,,,,,
82760,telmiä,romp,romp,telmiä,,,,,
82817,telttailla,camp,camp,telttailla,,,,,
82846,temmeltää,frolic,frolic,temmeltää,,,,,
82875,temperoida,english,english,temperoida,,,,,
82876,tempoa,tear at,tear at,tempoa,,,,,
82905,tenhota,enchant,enchant,tenhota,,,,,
82906,tenttiä,take an examination,take an examination,tenttiä,,,,,
82907,teollistaa,industrialize,industrialize,teollistaa,,,,,
82908,teollistua,industrialize,industrialize,teollistua,,,,,
82965,tepsiä,do the trick,do the trick,tepsiä,,,,,
82966,tepsuttaa,walk in short quick steps,walk in short quick steps,tepsuttaa,,,,,
82967,terapoida,therapize,therapize,terapoida,,,,,
82968,terminoida,hedge,hedge,terminoida,,,,,
83025,tervaantua,do,do,tervaantua,,,,,
83054,tervautua,become tarred,become tarred,tervautua,,,,,
83055,tervehtiä,greet,greet,tervehtiä,,,,,
83140,teutaroida,english,english,teutaroida,,,,,
83197,tiedustaa,do,do,tiedustaa,,,,,
83254,tietokoneistaa,computerize,computerize,tietokoneistaa,,,,,
83255,tietokoneistua,become computerized,become computerized,tietokoneistua,,,,,
83256,tietää,know,know,tietää,,,,,
83257,tihentyä,become denser,become denser,tihentyä,,,,,
83258,tihentää,make more dense,make more dense,tihentää,,,,,
83259,tihertää,do,do,tihertää,,,,,
83260,tihetä,become denser,become denser,tihetä,,,,,
83289,tihkuta,drizzle,drizzle,tihkuta,,,,,
83290,tihkuttaa,drizzle,drizzle,tihkuttaa,,,,,
83291,tihuttaa,drizzle,drizzle,tihuttaa,,,,,
83292,tiiata,tee off,tee off,tiiata,,,,,
83293,tiilittää,tile,tile,tiilittää,,,,,
83294,tiinehtiä,become pregnant,become pregnant,tiinehtiä,,,,,
83295,tiirikoida,pick a lock,pick a lock,tiirikoida,,,,,
83296,tiivistyä,condense,condense,tiivistyä,,,,,
83297,tiivistää,condense,condense,tiivistää,,,,,
83298,tikahtua,choke,choke,tikahtua,,,,,
83299,tikittää,tick,tick,tikittää,,,,,
83356,tilittää,account for,account for,tilittää,,,,,
83357,tiliöidä,english,english,tiliöidä,,,,,
83358,tilkitä,seal,seal,tilkitä,,,,,
83359,tiluttaa,shred,shred,tiluttaa,,,,,
83388,tinkiä,haggle,haggle,tinkiä,,,,,
83389,tipahdella,drop,drop,tipahdella,,,,,
83390,tipahtaa,drop,drop,tipahtaa,,,,,
83419,tipsuttaa,tiptoe,tiptoe,tipsuttaa,,,,,
83420,tiputella,drop,drop,tiputella,,,,,
83421,tiputtaa,drop,drop,tiputtaa,,,,,
83422,tiristä,sizzle,sizzle,tiristä,,,,,
83423,tirkistellä,peek,peek,tirkistellä,,,,,
83508,tissuttaa,tiptoe,tiptoe,tissuttaa,,,,,
83509,tituloida,address,address,tituloida,,,,,
83510,tiuhentaa,increase frequency,increase frequency,tiuhentaa,,,,,
83511,tiuheta,english,english,tiuheta,,,,,
83540,tiukentua,do,do,tiukentua,,,,,
83541,tiuketa,tighten,tighten,tiuketa,,,,,
83542,tiukkua,trickle,trickle,tiukkua,,,,,
83543,tiuskahdella,keep snapping,keep snapping,tiuskahdella,,,,,
83544,tiuskaista,snap,snap,tiuskaista,,,,,
83629,todentua,be realized,be realized,todentua,,,,,
83798,tohista,english,english,tohista,,,,,
83827,tohtoroida,doctor,doctor,tohtoroida,,,,,
83828,tohtoroitua,do,do,tohtoroitua,,,,,
83913,tointua,regain consciousness,regain consciousness,tointua,,,,,
83942,toisintaa,reproduce,reproduce,toisintaa,,,,,
84111,toljottaa,goggle,goggle,toljottaa,,,,,
84224,torailla,quarrel,quarrel,torailla,,,,,
84281,tornittaa,castle,castle,tornittaa,,,,,
84422,totota,play tote games,play tote games,totota,,,,,
84479,totuttautua,do,do,totuttautua,,,,,
84508,transformoida,transform,transform,transformoida,,,,,
84509,transistoroida,transistorize,transistorize,transistoroida,,,,,
84510,transkriboida,transcribe,transcribe,transkriboida,,,,,
84623,trimmata,trim,trim,trimmata,,,,,
84624,trivialisoida,trivialize,trivialize,trivialisoida,,,,,
84737,tsiigata,watch,watch,tsiigata,,,,,
84738,tuftata,tuft,tuft,tuftata,,,,,
84739,tuhahtaa,snort,snort,tuhahtaa,,,,,
84768,tuhista,english,english,tuhista,,,,,
84769,tuhkata,cremate,cremate,tuhkata,,,,,
84854,tuhrata,dirty,dirty,tuhrata,,,,,
84883,tuijotella,stare,stare,tuijotella,,,,,
84912,tuikata,poke,poke,tuikata,,,,,
84913,tuikehtia,twinkle,twinkle,tuikehtia,,,,,
84942,tuimentaa,do,do,tuimentaa,,,,,
84943,tuimeta,english,english,tuimeta,,,,,
84944,tuiskia,snap,snap,tuiskia,,,,,
84945,tuiskuta,whirl,whirl,tuiskuta,,,,,
84946,tuiskuttaa,flurry,flurry,tuiskuttaa,,,,,
85003,tukahtua,suffocate,suffocate,tukahtua,,,,,
85032,tukehduttaa,suffocate,suffocate,tukehduttaa,,,,,
85061,tuketa,english,english,tuketa,,,,,
85146,tuksuttaa,chug,chug,tuksuttaa,,,,,
85315,tulla hulluksi,go crazy,go crazy,tulla hulluksi,,,,,
85316,tulla humalaan,get drunk,get drunk,tulla humalaan,,,,,
85317,tulla juovuksiin,get drunk,get drunk,tulla juovuksiin,,,,,
85318,tulla mieleen,come to mind,come to mind,tulla mieleen,,,,,
85319,tulla perille,arrive,arrive,tulla perille,,,,,
85320,tulla toimeen,get along,get along,tulla toimeen,,,,,
85321,tulla toisiin aatoksiin,come around,come around,tulla toisiin aatoksiin,,,,,
85322,tulla voimaan,come into force,come into force,tulla voimaan,,,,,
85379,tulostua,be printed,be printed,tulostua,,,,,
85408,tulpita,plug up,plug up,tulpita,,,,,
85465,tummentua,darken,darken,tummentua,,,,,
85466,tummeta,darken,darken,tummeta,,,,,
85467,tummua,darken,darken,tummua,,,,,
85468,tumpeloida,bungle,bungle,tumpeloida,,,,,
85525,tungeksia,throng,throng,tungeksia,,,,,
85610,tunnelmoida,english,english,tunnelmoida,,,,,
85611,tunneloida,tunnel,tunnel,tunneloida,,,,,
85668,tunnustautua,avow,avow,tunnustautua,,,,,
85753,tuoda ilmi,reveal,reveal,tuoda ilmi,,,,,
85838,tuoksuta,give off,give off,tuoksuta,,,,,
86035,tupeerata,backcomb,backcomb,tupeerata,,,,,
86120,tupsahtaa,happen unexpectedly,happen unexpectedly,tupsahtaa,,,,,
86121,turhaantua,do,do,turhaantua,,,,,
86178,turhentaa,make worthless,make worthless,turhentaa,,,,,
86179,turinoida,chatter,chatter,turinoida,,,,,
86292,turskua,spurt,spurt,turskua,,,,,
86349,tursuttaa,english,english,tursuttaa,,,,,
86490,tuskailla,do,do,tuskailla,,,,,
86491,tuskastella,do,do,tuskastella,,,,,
86492,tuskastua,grow impatient,grow impatient,tuskastua,,,,,
86493,tutia,sleep,sleep,tutia,,,,,
86578,tutkittaa,have something examined,have something examined,tutkittaa,,,,,
86607,tutoroida,tutor,tutor,tutoroida,,,,,
86608,tutustaa,do,do,tutustaa,,,,,
86665,tuudittaa,lull,lull,tuudittaa,,,,,
86666,tuuhentaa,make more dense,make more dense,tuuhentaa,,,,,
86667,tuuheta,english,english,tuuheta,,,,,
86668,tuuhettua,do,do,tuuhettua,,,,,
87005,tuutia,lull,lull,tuutia,,,,,
87006,tuutoroida,tutor,tutor,tuutoroida,,,,,
87007,tuuttailla,honk,honk,tuuttailla,,,,,
87008,tvistata,do,do,tvistata,,,,,
87009,twistata,dance twist,dance twist,twistata,,,,,
87010,tyhjentyä,empty,empty,tyhjentyä,,,,,
87011,tyhjentää,empty,empty,tyhjentää,,,,,
87012,tyhjetä,become empty,become empty,tyhjetä,,,,,
87013,tyhjätä,empty,empty,tyhjätä,,,,,
87014,tyhmentyä,become dumber,become dumber,tyhmentyä,,,,,
87015,tyhmentää,dumb,dumb,tyhmentää,,,,,
87016,tyhmetä,become dumber,become dumber,tyhmetä,,,,,
87017,tykittää,cannon,cannon,tykittää,,,,,
87018,tykyttää,throb,throb,tykyttää,,,,,
87019,tykätä,like,like,tykätä,,,,,
87020,tylpentää,blunt,blunt,tylpentää,,,,,
87021,tylpetä,dull,dull,tylpetä,,,,,
87022,tylsentää,blunt,blunt,tylsentää,,,,,
87023,tylsetä,become duller,become duller,tylsetä,,,,,
87024,tylsistyttää,make dull,make dull,tylsistyttää,,,,,
87025,tylsistyä,get bored,get bored,tylsistyä,,,,,
87026,tylsistää,dull,dull,tylsistää,,,,,
87027,tylstyä,do,do,tylstyä,,,,,
87028,tylsyttää,blunt,blunt,tylsyttää,,,,,
87029,tylsyä,become blunt,become blunt,tylsyä,,,,,
87030,tympeytyä,become nauseating,become nauseating,tympeytyä,,,,,
87031,tympiä,irritate,irritate,tympiä,,,,,
87032,tympäistä,english,english,tympäistä,,,,,
87033,tympääntyä,be fed up with something,be fed up with something,tympääntyä,,,,,
87034,typistyä,be truncated,be truncated,typistyä,,,,,
87035,typistää,truncate,truncate,typistää,,,,,
87064,tyrannoida,do,do,tyrannoida,,,,,
87065,tyrehdyttää,stop something from flowing,stop something from flowing,tyrehdyttää,,,,,
87066,tyrehtyä,dry up,dry up,tyrehtyä,,,,,
87067,tyriä,screw up,screw up,tyriä,,,,,
87068,tyrkkiä,jostle,jostle,tyrkkiä,,,,,
87069,tyrkyttää,foist,foist,tyrkyttää,,,,,
87070,tyrmistyttää,consternate,consternate,tyrmistyttää,,,,,
87071,tyrmätä,stun,stun,tyrmätä,,,,,
87072,tyrskytä,english,english,tyrskytä,,,,,
87073,tytistä,do,do,tytistä,,,,,
87074,tyvetä,english,english,tyvetä,,,,,
87075,tyydyttyä,become satisfied,become satisfied,tyydyttyä,,,,,
87076,tyydyttää,satisfy,satisfy,tyydyttää,,,,,
87077,tyyntyä,calm,calm,tyyntyä,,,,,
87078,tyytyä,be satisfied,be satisfied,tyytyä,,,,,
87079,tyytätä,honk,honk,tyytätä,,,,,
87080,työllistyä,become employed,become employed,työllistyä,,,,,
87081,työllistää,employ,employ,työllistää,,,,,
87082,työnnältää,do,do,työnnältää,,,,,
87083,työntyä,push,push,työntyä,,,,,
87084,työntää,push,push,työntää,,,,,
87085,työskennellä,work,work,työskennellä,,,,,
87086,työstää,machine,machine,työstää,,,,,
87087,täditellä,call someone aunt,call someone aunt,täditellä,,,,,
87088,tähdentää,emphasize,emphasize,tähdentää,,,,,
87089,tähdittää,star,star,tähdittää,,,,,
87090,tähdätä,aim at,aim at,tähdätä,,,,,
87091,tähkiä,english,english,tähkiä,,,,,
87092,tähyillä,peer,peer,tähyillä,,,,,
87093,tähystää,keep a lookout,keep a lookout,tähystää,,,,,
87094,tähytä,english,english,tähytä,,,,,
87095,tällätä,deck,deck,tällätä,,,,,
87096,täplittää,speckle,speckle,täplittää,,,,,
87097,täristä,shake,shake,täristä,,,,,
87098,tärkätä,starch,starch,tärkätä,,,,,
87099,tärppiä,english,english,tärppiä,,,,,
87100,tärskyä,english,english,tärskyä,,,,,
87101,tärvellä,destroy,destroy,tärvellä,,,,,
87102,tärvätä,destroy,destroy,tärvätä,,,,,
87103,täryttää,vibrate,vibrate,täryttää,,,,,
87104,tärähtää,jolt,jolt,tärähtää,,,,,
87105,täsmentää,clarify,clarify,täsmentää,,,,,
87106,täsmätä,match,match,täsmätä,,,,,
87107,täydentää,supplement,supplement,täydentää,,,,,
87108,täyttyä,become filled,become filled,täyttyä,,,,,
87109,täyttää,fill,fill,täyttää,,,,,
87110,töhertää,do,do,töhertää,,,,,
87111,töhriä,smudge,smudge,töhriä,,,,,
87112,tökkiä,poke,poke,tökkiä,,,,,
87113,tökkäistä,jab,jab,tökkäistä,,,,,
87114,tökätä,poke,poke,tökätä,,,,,
87115,töllöttää,ogle,ogle,töllöttää,,,,,
87116,tölväistä,english,english,tölväistä,,,,,
87117,tömistellä,stomp,stomp,tömistellä,,,,,
87118,tömistä,english,english,tömistä,,,,,
87119,tömähtää,thump,thump,tömähtää,,,,,
87120,töniä,push,push,töniä,,,,,
87121,tönäistä,nudge,nudge,tönäistä,,,,,
87122,töpeksiä,blunder,blunder,töpeksiä,,,,,
87123,törmätä,impact,impact,törmätä,,,,,
87124,törmäyttää,collide,collide,törmäyttää,,,,,
87125,törröttää,stick out,stick out,törröttää,,,,,
87126,törsätä,spend lavishly,spend lavishly,törsätä,,,,,
87127,töykkiä,jostle,jostle,töykkiä,,,,,
87128,töytäistä,jostle,jostle,töytäistä,,,,,
87129,tööttäillä,honk,honk,tööttäillä,,,,,
87130,töötätä,honk,honk,töötätä,,,,,
87159,ufoilla,express strange opinions and views,express strange opinions and views,ufoilla,,,,,
87244,uhkua,radiate,radiate,uhkua,,,,,
87329,uhrautua,sacrifice,sacrifice,uhrautua,,,,,
87414,uinailla,slumber,slumber,uinailla,,,,,
87527,uitella,english,english,uitella,,,,,
87528,uittaa,make,make,uittaa,,,,,
87529,ujeltaa,whiz,whiz,ujeltaa,,,,,
87530,ujoilla,shy,shy,ujoilla,,,,,
87531,ujostella,shy,shy,ujostella,,,,,
87532,ujostuttaa,make someone feel shy,make someone feel shy,ujostuttaa,,,,,
87589,ujuttautua,infiltrate,infiltrate,ujuttautua,,,,,
87590,ukkoontua,do,do,ukkoontua,,,,,
87619,ukkoutua,become old,become old,ukkoutua,,,,,
87620,ukottua,do,do,ukottua,,,,,
87621,ukrainantaa,translate into ukrainian,translate into ukrainian,ukrainantaa,,,,,
87622,ulahtaa,yelp,yelp,ulahtaa,,,,,
87623,ulettua,reach,reach,ulettua,,,,,
87680,ulkoiluttaa,walk,walk,ulkoiluttaa,,,,,
87709,ulontaa,do,do,ulontaa,,,,,
87766,ulota,do,do,ulota,,,,,
87767,ulottaa,extend,extend,ulottaa,,,,,
87768,ulottautua,reach,reach,ulottautua,,,,,
87853,ulvaista,yelp,yelp,ulvaista,,,,,
87882,ulvottaa,english,english,ulvottaa,,,,,
87883,ummehtua,get musty,get musty,ummehtua,,,,,
87912,umpeentua,english,english,umpeentua,,,,,
87913,umpeuttaa,english,english,umpeuttaa,,,,,
87942,umpioida,seal hermetically,seal hermetically,umpioida,,,,,
87943,umpioitua,do,do,umpioitua,,,,,
88000,unettaa,make sleepy,make sleepy,unettaa,,,,,
88029,unhoittua,be forgotten,be forgotten,unhoittua,,,,,
88086,universaalistaa,universalize,universalize,universaalistaa,,,,,
88087,universaalistua,become universal,become universal,universaalistua,,,,,
88228,upotella,sink,sink,upotella,,,,,
88257,upotussuolata,salt in brine,salt in brine,upotussuolata,,,,,
